unit_id,voltage_kv_mm,failure_time,event
1,100.3,606.0,1
2,100.3,1012.0,1
3,100.3,2520.0,1
4,100.3,2610.0,1
5,100.3,3988.0,1
6,100.3,4100.0,1
7,100.3,5025.0,1
8,100.3,6842.0,1
9,122.4,188.0,1
10,122.4,297.0,1
11,122.4,405.0,1
12,122.4,744.0,1
13,122.4,1218.0,1
14,122.4,1340.0,1
15,122.4,1715.0,1
16,122.4,3382.0,1
17,157.1,49.0,1
18,157.1,99.0,1
19,157.1,154.5,1
20,157.1,180.0,1
21,157.1,291.0,1
22,157.1,447.0,1
23,157.1,510.0,1
24,157.1,600.0,1
25,157.1,1656.0,1
26,157.1,1721.0,1
27,219.0,15.0,1
28,219.0,16.0,1
29,219.0,36.0,1
30,219.0,50.0,1
31,219.0,55.0,1
32,219.0,95.0,1
33,219.0,122.0,1
34,219.0,129.0,1
35,219.0,625.0,1
36,219.0,700.0,1
37,361.4,0.1,1
38,361.4,0.33,1
39,361.4,0.5,1
40,361.4,0.5,1
41,361.4,0.9,1
42,361.4,1.0,1
43,361.4,1.55,1
44,361.4,1.65,1
45,361.4,2.1,1
46,361.4,4.0,1
